STATE_PUMA,CONTAINS
01|||01100,Clay County
01|||01100,Cleburne County
01|||01100,Collinsville Town (part)
01|||01100,Edwardsville Town
01|||01100,Fruithurst City
01|||01100,Gantts Quarry Town
01|||01100,Gaylesville Town
01|||01100,Heflin City
01|||01100,Leesburg Town
01|||01100,Lincoln City
01|||01100,Lineville City
01|||01100,Mignon CDP
01|||01100,Munford CDP
01|||01100,Oak Grove Town
01|||01100,Oxford City (part)
01|||01100,Piedmont City (part)
01|||01100,Ranburne Town
01|||01100,Randolph County
01|||01100,Remainder of Cherokee County
01|||01100,Remainder of Clay County
01|||01100,Remainder of Cleburne County
01|||01100,Remainder of Randolph County
01|||01100,Remainder of Talladega County
01|||01100,Roanoke City
01|||01100,Rock Mills CDP
01|||01100,Sand Rock Town (part)
01|||01100,Sylacauga City
01|||01100,Talladega City
01|||01100,Talladega County
01|||01100,Talladega Springs Town
01|||01100,Vincent Town (part)
01|||01100,Wadley Town
01|||01100,Waldo Town
01|||01100,Wedowee Town
01|||01100,Woodland Town
01|||01200,Alexandria CDP
01|||01200,Anniston City
01|||01200,Blue Mountain Town
01|||01200,Bynum CDP
01|||01200,Calhoun County
01|||01200,Glencoe City (part)
01|||01200,Hobson City Town
01|||01200,Jacksonville City
01|||01200,Ohatchee Town
01|||01200,Oxford City (part)
01|||01200,Piedmont City (part)
01|||01200,Remainder of Calhoun County
01|||01200,Saks CDP
01|||01200,Southside City (part)
01|||01200,Weaver City
01|||01200,West End-Cobb Town CDP
01|||01300,Alabaster City
01|||01300,Birmingham City (part)
01|||01300,Calera City (part)
01|||01300,Chelsea Town
01|||01300,Childersburg City (part)
01|||01300,Columbiana City
01|||01300,Harpersville Town
01|||01300,Helena City (part)
01|||01300,Hoover City (part)
01|||01300,Indian Springs Village Town
01|||01300,Lake Purdy CDP
01|||01300,Leeds City (part)
01|||01300,Meadowbrook CDP
01|||01300,Montevallo City
01|||01300,Pelham City
01|||01300,Remainder of Shelby County
01|||01300,Shelby County
01|||01300,Vestavia Hills City (part)
01|||01300,Vincent Town (part)
01|||01300,Wilsonville Town
01|||01300,Wilton Town
01|||01400,Brookwood Town
01|||01400,Coaling City
01|||01400,Coker Town
01|||01400,Holt CDP
01|||01400,Lake View Town
01|||01400,Moundville Town (part)
01|||01400,North Bibb Town (part)
01|||01400,Northport City
01|||01400,Remainder of Tuscaloosa County
01|||01400,Tuscaloosa City
01|||01400,Tuscaloosa County
01|||01400,Vance Town (part)
01|||01500,Akron Town
01|||01500,Bibb County
01|||01500,Boligee Town
01|||01500,Brent City
01|||01500,Centreville City
01|||01500,Dallas County
01|||01500,Dayton Town
01|||01500,Demopolis City
01|||01500,Eutaw City
01|||01500,Faunsdale Town
01|||01500,Forkland Town
01|||01500,Greene County
01|||01500,Greensboro City
01|||01500,Hale County
01|||01500,Linden City
01|||01500,Marengo County
01|||01500,Marion City
01|||01500,Moundville Town (part)
01|||01500,Myrtlewood Town
01|||01500,Newbern Town
01|||01500,North Bibb Town (part)
01|||01500,Orrville Town
01|||01500,Perry County
01|||01500,Providence Town
01|||01500,Remainder of Bibb County
01|||01500,Remainder of Dallas County
01|||01500,Remainder of Greene County
01|||01500,Remainder of Hale County
01|||01500,Remainder of Marengo County
01|||01500,Remainder of Perry County
01|||01500,Selma City
01|||01500,Selmont-West Selmont CDP
01|||01500,Sweet Water Town
01|||01500,Thomaston Town
01|||01500,Union Town
01|||01500,Uniontown City
01|||01500,Vance Town (part)
01|||01500,West Blocton Town
01|||01600,Alexander City City
01|||01600,Calera City (part)
01|||01600,Camp Hill Town
01|||01600,Chambers County
01|||01600,Chilton County
01|||01600,Clanton City
01|||01600,Coosa County
01|||01600,Dadeville City
01|||01600,Daviston Town
01|||01600,Five Points Town
01|||01600,Goldville Town
01|||01600,Goodwater City
01|||01600,Huguley CDP
01|||01600,Jacksons' Gap Town
01|||01600,Jemison Town
01|||01600,La Fayette City
01|||01600,Lanett City
01|||01600,Maplesville Town
01|||01600,New Site Town
01|||01600,Remainder of Chambers County
01|||01600,Remainder of Chilton County
01|||01600,Remainder of Coosa County
01|||01600,Remainder of Tallapoosa County
01|||01600,Rockford Town
01|||01600,Tallapoosa County
01|||01600,Tallassee City (part)
01|||01600,Thorsby Town
01|||01600,Valley City
01|||01600,Waverly Town (part)
01|||01700,Auburn City
01|||01700,Lee County
01|||01700,Loachapoka Town
01|||01700,Notasulga Town (part)
01|||01700,Opelika City
01|||01700,Phenix City City (part)
01|||01700,Remainder of Lee County
01|||01700,Smiths CDP
01|||01700,Waverly Town (part)
01|||01800,Abbeville City
01|||01800,Banks Town
01|||01800,Barbour County
01|||01800,Blue Springs Town
01|||01800,Brantley Town
01|||01800,Brundidge City
01|||01800,Bullock County
01|||01800,Butler County
01|||01800,Clayton Town
01|||01800,Clio Town
01|||01800,Crenshaw County
01|||01800,Dothan City (part)
01|||01800,Dozier Town
01|||01800,Eufaula City
01|||01800,Franklin Town
01|||01800,Georgiana Town
01|||01800,Glenwood Town
01|||01800,Goshen Town
01|||01800,Greenville City
01|||01800,Haleburg Town
01|||01800,Headland City
01|||01800,Henry County
01|||01800,Hurtsboro Town
01|||01800,Ladonia CDP
01|||01800,Louisville Town
01|||01800,Luverne City
01|||01800,Macon County
01|||01800,McKenzie Town (part)
01|||01800,Midway Town
01|||01800,Newville Town
01|||01800,Notasulga Town (part)
01|||01800,Petrey Town
01|||01800,Phenix City City (part)
01|||01800,Pike County
01|||01800,Remainder of Barbour County
01|||01800,Remainder of Bullock County
01|||01800,Remainder of Butler County
01|||01800,Remainder of Crenshaw County
01|||01800,Remainder of Henry County
01|||01800,Remainder of Macon County
01|||01800,Remainder of Pike County
01|||01800,Remainder of Russell County
01|||01800,Russell County
01|||01800,Rutledge Town
01|||01800,Shorter Town
01|||01800,Troy City
01|||01800,Tuskegee City
01|||01800,Union Springs City
01|||01900,Montgomery City
01|||01900,Montgomery County (part)
01|||02000,Autauga County
01|||02000,Autaugaville Town
01|||02000,Billingsley Town
01|||02000,Blue Ridge CDP
01|||02000,Coosada Town
01|||02000,Deatsville Town
01|||02000,Eclectic Town
01|||02000,Elmore County
01|||02000,Elmore Town
01|||02000,Millbrook City (part)
01|||02000,Montgomery County (part)
01|||02000,Pike Road City
01|||02000,Prattville City (part)
01|||02000,Remainder of Autauga County
01|||02000,Remainder of Elmore County
01|||02000,Remainder of Montgomery County
01|||02000,Tallassee City (part)
01|||02000,Wetumpka City
01|||02100,Atmore City
01|||02100,Beatrice Town
01|||02100,Benton Town
01|||02100,Brewton City
01|||02100,Butler City
01|||02100,Camden Town
01|||02100,Castleberry Town
01|||02100,Chatom Town
01|||02100,Choctaw County
01|||02100,Clarke County
01|||02100,Coffeeville Town
01|||02100,Conecuh County
01|||02100,East Brewton City
01|||02100,Escambia County
01|||02100,Evergreen City
01|||02100,Excel Town
01|||02100,Flomaton Town
01|||02100,Fort Deposit Town
01|||02100,Frisco City Town
01|||02100,Fulton Town
01|||02100,Gilbertown Town
01|||02100,Gordonville Town
01|||02100,Grove Hill Town
01|||02100,Hayneville Town
01|||02100,Jackson City
01|||02100,Lisman Town
01|||02100,Lowndesboro Town
01|||02100,Lowndes County
01|||02100,McIntosh Town
01|||02100,McKenzie Town (part)
01|||02100,Millry Town
01|||02100,Monroe County
01|||02100,Monroeville City
01|||02100,Mosses Town
01|||02100,Needham Town
01|||02100,Oak Hill Town
01|||02100,Pennington Town
01|||02100,Pine Apple Town
01|||02100,Pine Hill Town
01|||02100,Pollard Town
01|||02100,Remainder of Choctaw County
01|||02100,Remainder of Clarke County
01|||02100,Remainder of Conecuh County
01|||02100,Remainder of Escambia County
01|||02100,Remainder of Lowndes County
01|||02100,Remainder of Monroe County
01|||02100,Remainder of Washington County
01|||02100,Remainder of Wilcox County
01|||02100,Repton Town
01|||02100,Riverview Town
01|||02100,Silas Town
01|||02100,Thomasville City
01|||02100,Toxey Town
01|||02100,Vredenburgh Town
01|||02100,Washington County
01|||02100,White Hall Town
01|||02100,Wilcox County
01|||02100,Yellow Bluff Town
01|||02200,Mobile City
01|||02200,Mobile County (part)
01|||02300,Bayou La Batre City
01|||02300,Chickasaw City
01|||02300,Citronelle City
01|||02300,Creola Town
01|||02300,Dauphin Island Town
01|||02300,Grand Bay CDP
01|||02300,Mobile County (part)
01|||02300,Mount Vernon Town
01|||02300,Prichard City
01|||02300,Remainder of Mobile County
01|||02300,Saraland City
01|||02300,Satsuma City
01|||02300,Theodore CDP
01|||02300,Tillmans Corner CDP
01|||02400,Baldwin County
01|||02400,Bay Minette City
01|||02400,Daphne City
01|||02400,Elberta Town
01|||02400,Fairhope City
01|||02400,Foley City
01|||02400,Gulf Shores City
01|||02400,Loxley Town
01|||02400,Orange Beach City
01|||02400,Point Clear CDP
01|||02400,Remainder of Baldwin County
01|||02400,Robertsdale City
01|||02400,Silverhill Town
01|||02400,Spanish Fort City
01|||02400,Summerdale Town
01|||02500,Andalusia City
01|||02500,Babbie Town
01|||02500,Black Town
01|||02500,Carolina Town
01|||02500,Coffee County
01|||02500,Coffee Springs Town
01|||02500,Covington County
01|||02500,Elba City
01|||02500,Enterprise City (part)
01|||02500,Eunola Town
01|||02500,Florala City
01|||02500,Gantt Town
01|||02500,Geneva City
01|||02500,Geneva County
01|||02500,Hartford City
01|||02500,Heath Town
01|||02500,Horn Hill Town
01|||02500,Kinston Town
01|||02500,Libertyville Town
01|||02500,Lockhart Town
01|||02500,Malvern Town
01|||02500,New Brockton Town
01|||02500,Onycha Town
01|||02500,Opp City
01|||02500,Red Level Town
01|||02500,Remainder of Coffee County
01|||02500,Remainder of Covington County
01|||02500,Remainder of Geneva County
01|||02500,River Falls Town
01|||02500,Samson City
01|||02500,Sanford Town
01|||02500,Slocomb City
01|||02500,Taylor Town (part)
01|||02600,Ariton Town
01|||02600,Ashford City
01|||02600,Avon Town
01|||02600,Clayhatchee Town
01|||02600,Columbia Town
01|||02600,Cottonwood Town
01|||02600,Cowarts Town
01|||02600,Dale County
01|||02600,Daleville City
01|||02600,Dothan City (part)
01|||02600,Enterprise City (part)
01|||02600,Fort Rucker CDP
01|||02600,Gordon Town
01|||02600,Grimes Town
01|||02600,Houston County
01|||02600,Kinsey Town
01|||02600,Level Plains Town
01|||02600,Madrid Town
01|||02600,Midland City Town
01|||02600,Napier Field Town
01|||02600,Newton Town
01|||02600,Ozark City
01|||02600,Pinckard Town
01|||02600,Rehobeth Town
01|||02600,Remainder of Dale County
01|||02600,Remainder of Houston County
01|||02600,Taylor Town (part)
01|||02600,Webb Town
02|||00101,Anchorage municipality (part)
02|||00101,Anchorage Municipality (part)
02|||00102,Anchorage municipality (part)
02|||00102,Anchorage Municipality (part)
02|||00200,Anchor Point CDP
02|||00200,Bear Creek CDP
02|||00200,Beluga CDP
02|||00200,Big Lake CDP
02|||00200,Buffalo Soapstone CDP
02|||00200,Butte CDP
02|||00200,Chase CDP
02|||00200,Chickaloon CDP
02|||00200,Clam Gulch CDP
02|||00200,Cohoe CDP
02|||00200,Cooper Landing CDP
02|||00200,Crown Point CDP
02|||00200,Diamond Ridge CDP
02|||00200,Farm Loop CDP
02|||00200,Fishhook CDP
02|||00200,Fox River CDP
02|||00200,Fritz Creek CDP
02|||00200,Funny River CDP
02|||00200,Gateway CDP
02|||00200,Glacier View CDP
02|||00200,Halibut Cove CDP
02|||00200,Happy Valley CDP
02|||00200,Homer City
02|||00200,Hope CDP
02|||00200,Houston City
02|||00200,Kachemak City
02|||00200,Kalifornsky CDP
02|||00200,Kasilof CDP
02|||00200,Kenai City
02|||00200,Kenai Peninsula Borough
02|||00200,Knik-Fairview CDP
02|||00200,Knik River CDP
02|||00200,Lake Louise CDP
02|||00200,Lakes CDP
02|||00200,Lazy Mountain CDP
02|||00200,Lowell Point CDP
02|||00200,Matanuska-Susitna Borough
02|||00200,Meadow Lakes CDP
02|||00200,Miller Landing CDP
02|||00200,Moose Pass CDP
02|||00200,Nanwalek CDP
02|||00200,Nikiski CDP
02|||00200,Nikolaevsk CDP
02|||00200,Ninilchik CDP
02|||00200,Palmer City
02|||00200,Petersville CDP
02|||00200,Point MacKenzie CDP
02|||00200,Port Graham CDP
02|||00200,Primrose CDP
02|||00200,Remainder of Kenai Peninsula Borough
02|||00200,Remainder of Matanuska-Susitna Borough
02|||00200,Ridgeway CDP
02|||00200,Salamatof CDP
02|||00200,Seldovia City
02|||00200,Seldovia Village CDP
02|||00200,Seward City
02|||00200,Skwentna CDP
02|||00200,Soldotna City
02|||00200,Sterling CDP
02|||00200,Sunrise CDP
02|||00200,Susitna CDP
02|||00200,Sutton-Alpine CDP
02|||00200,Talkeetna CDP
02|||00200,Tanaina CDP
02|||00200,Trapper Creek CDP
02|||00200,Tyonek CDP
02|||00200,Wasilla City
02|||00200,Willow CDP
02|||00200,Y CDP
02|||00300,Alcan Border CDP
02|||00300,Anderson City
02|||00300,Big Delta CDP
02|||00300,Cantwell CDP
02|||00300,Chenega CDP
02|||00300,Chicken CDP
02|||00300,Chisana CDP
02|||00300,Chistochina CDP
02|||00300,Chitina CDP
02|||00300,College CDP
02|||00300,Copper Center CDP
02|||00300,Copperville CDP
02|||00300,Cordova City
02|||00300,Covenant Life CDP
02|||00300,Delta Junction City
02|||00300,Deltana CDP
02|||00300,Denali Borough
02|||00300,Dot Lake CDP
02|||00300,Dot Lake Village CDP
02|||00300,Dry Creek CDP
02|||00300,Eagle City
02|||00300,Eagle Village CDP
02|||00300,Eielson AFB CDP
02|||00300,Ester CDP
02|||00300,Excursion Inlet CDP
02|||00300,Fairbanks City
02|||00300,Fairbanks North Star Borough
02|||00300,Ferry CDP
02|||00300,Fort Greely CDP
02|||00300,Fox CDP
02|||00300,Gakona CDP
02|||00300,Glennallen CDP
02|||00300,Gulkana CDP
02|||00300,Haines Borough
02|||00300,Haines City
02|||00300,Harding-Birch Lakes CDP
02|||00300,Healy CDP
02|||00300,Healy Lake CDP
02|||00300,Juneau City and borough
02|||00300,Juneau City and Borough
02|||00300,Kenny Lake CDP
02|||00300,Ketchikan City
02|||00300,Ketchikan Gateway Borough
02|||00300,Lutak CDP
02|||00300,McCarthy CDP
02|||00300,McKinley Park CDP
02|||00300,Mendeltna CDP
02|||00300,Mentasta Lake CDP
02|||00300,Moose Creek CDP
02|||00300,Mosquito Lake CDP
02|||00300,Mud Bay CDP
02|||00300,Nelchina CDP
02|||00300,North Pole City
02|||00300,Northway CDP
02|||00300,Northway Junction CDP
02|||00300,Northway Village CDP
02|||00300,Paxson CDP
02|||00300,Pleasant Valley CDP
02|||00300,Remainder of Denali Borough
02|||00300,Remainder of Fairbanks North Star Borough
02|||00300,Remainder of Haines Borough
02|||00300,Remainder of Ketchikan Gateway Borough
02|||00300,Remainder of Southeast Fairbanks Census Area
02|||00300,Remainder of Valdez-Cordova Census Area
02|||00300,Salcha CDP
02|||00300,Saxman City
02|||00300,Silver Springs CDP
02|||00300,Sitka City and borough
02|||00300,Sitka City and Borough
02|||00300,Slana CDP
