Year,Fips,Data
2009,16051,11.1
2009,16053,15.4
2009,16055,13.8
2009,16057,18.4
2009,16059,18.5
2009,16061,15.2
2009,16063,12.2
2009,16065,28.9
2009,16067,14.9
2009,16069,13.7
2009,16071,12.8
2009,16073,17.4
2009,16075,15.5
2009,16077,16.6
2009,16079,14.8
2009,16081,10.3
2009,16083,12.5
2009,16085,10.4
2009,16087,16.6
2009,17000,13.3
2009,17001,15.7
2009,17003,29.4
2009,17005,13.7
2009,17007,8.9
2009,17009,15.9
2009,17011,12.8
2009,17013,11.3
2009,17015,13.2
2009,17017,12.5
2009,17019,19.9
2009,17021,14.7
2009,17023,13.4
2009,17025,14.7
2009,17027,8.4
2009,17029,19.1
2009,17031,16
2009,17033,15.2
2009,17035,11.4
2009,17037,17
2009,17039,11.1
2009,17041,8.7
2009,17043,6.7
2009,17045,16
2009,17047,11.3
2009,17049,10.2
2009,17051,20.2
2009,17053,9.9
2009,17055,18.8
2009,17057,13.9
2009,17059,19.3
2009,17061,14.3
2009,17063,6.8
2009,17065,14.2
2009,17067,11.6
2009,17069,21.4
2009,17071,12.2
2009,17073,9.8
2009,17075,12.2
2009,17077,28.5
2009,17079,11.3
2009,17081,18.9
2009,17083,10
2009,17085,10.5
2009,17087,16.9
2009,17089,9.4
2009,17091,15.1
2009,17093,4.2
2009,17095,13.2
2009,17097,7.6
2009,17099,12.5
2009,17101,18.1
2009,17103,10.5
2009,17105,11.2
2009,17107,13.8
2009,17109,22.6
2009,17111,6.6
2009,17113,14.4
2009,17115,15.1
2009,17117,12.1
2009,17119,13.1
2009,17121,19.4
2009,17123,10.4
2009,17125,12.5
2009,17127,16.4
2009,17129,9.3
2009,17131,9.4
2009,17133,5
2009,17135,14.9
2009,17137,14.1
2009,17139,10.8
2009,17141,10.9
2009,17143,16.8
2009,17145,17.8
2009,17147,6.7
2009,17149,17.1
2009,17151,18
2009,17153,25.1
2009,17155,8.5
2009,17157,13.3
2009,17159,15.1
2009,17161,11.2
2009,17163,17.1
2009,17165,16.6
2009,17167,13.1
2009,17169,13.3
2009,17171,10.4
2009,17173,10.9
2009,17175,11.5
2009,17177,13
2009,17179,8.3
2009,17181,20
2009,17183,21.7
2009,17185,12.7
2009,17187,13.6
2009,17189,9.6
2009,17191,14.6
2009,17193,15.5
2009,17195,11.8
2009,17197,7
2009,17199,18.3
2009,17201,17.7
2009,17203,6.8
2009,18000,14.4
2009,18001,15.8
2009,18003,14.6
2009,18005,9.6
2009,18007,10
2009,18009,14.1
2009,18011,7.9
2009,18013,12.5
2009,18015,9.9
2009,18017,13.8
